"subj" "date" "exp" "trial" "acc" "event" "dur" "eventCorrect" "onset"
266 20121210 "CMFT" 1 7 "Fixation1" 10500 TRUE 10.5
266 20121210 "CMFT" 1 7 "MemL" 3000 TRUE 13.5
266 20121210 "CMFT" 1 7 "MemC" 3000 TRUE 16.5
266 20121210 "CMFT" 1 7 "MemR" 3000 TRUE 19.5
266 20121210 "CMFT" 1 7 "Fixation2" 3000 TRUE 22.5
266 20121210 "CMFT" 1 7 "TestL.RT" 1172 TRUE 23.672
266 20121210 "CMFT" 1 7 "TestL" 4500 TRUE 27
266 20121210 "CMFT" 1 7 "Fixation3" 6000 TRUE 33
266 20121210 "CMFT" 1 7 "TestC.RT" 1280 TRUE 34.28
266 20121210 "CMFT" 1 7 "TestC" 4500 TRUE 37.5
266 20121210 "CMFT" 1 7 "Fixation4" 6000 TRUE 43.5
266 20121210 "CMFT" 1 7 "TestR.RT" 1527 TRUE 45.027
266 20121210 "CMFT" 1 7 "TestR" 4500 TRUE 48
266 20121210 "CMFT" 2 5 "Fixation1" 7500 TRUE 55.5
266 20121210 "CMFT" 2 5 "MemL" 3000 TRUE 58.5
266 20121210 "CMFT" 2 5 "MemC" 3000 FALSE 61.5
266 20121210 "CMFT" 2 5 "MemR" 3000 TRUE 64.5
266 20121210 "CMFT" 2 5 "Fixation2" 3000 TRUE 67.5
266 20121210 "CMFT" 2 5 "TestL.RT" 1780 TRUE 69.28
266 20121210 "CMFT" 2 5 "TestL" 4500 TRUE 72
266 20121210 "CMFT" 2 5 "Fixation3" 1500 TRUE 73.5
266 20121210 "CMFT" 2 5 "TestC.RT" 1284 FALSE 74.784
266 20121210 "CMFT" 2 5 "TestC" 4500 FALSE 78
266 20121210 "CMFT" 2 5 "Fixation4" 7500 TRUE 85.5
266 20121210 "CMFT" 2 5 "TestR.RT" 1267 TRUE 86.767
266 20121210 "CMFT" 2 5 "TestR" 4500 TRUE 90
266 20121210 "CMFT" 3 7 "Fixation1" 3000 TRUE 93
266 20121210 "CMFT" 3 7 "MemL" 3000 TRUE 96
266 20121210 "CMFT" 3 7 "MemC" 3000 TRUE 99
266 20121210 "CMFT" 3 7 "MemR" 3000 TRUE 102
266 20121210 "CMFT" 3 7 "Fixation2" 6000 TRUE 108
266 20121210 "CMFT" 3 7 "TestL.RT" 1653 TRUE 109.653
266 20121210 "CMFT" 3 7 "TestL" 4500 TRUE 112.5
266 20121210 "CMFT" 3 7 "Fixation3" 4500 TRUE 117
266 20121210 "CMFT" 3 7 "TestC.RT" 2045 TRUE 119.045
266 20121210 "CMFT" 3 7 "TestC" 4500 TRUE 121.5
266 20121210 "CMFT" 3 7 "Fixation4" 6000 TRUE 127.5
266 20121210 "CMFT" 3 7 "TestR.RT" 2220 TRUE 129.72
266 20121210 "CMFT" 3 7 "TestR" 4500 TRUE 132
266 20121210 "CMFT" 4 6 "Fixation1" 4500 TRUE 136.5
266 20121210 "CMFT" 4 6 "MemL" 3000 FALSE 139.5
266 20121210 "CMFT" 4 6 "MemC" 3000 TRUE 142.5
266 20121210 "CMFT" 4 6 "MemR" 3000 TRUE 145.5
266 20121210 "CMFT" 4 6 "Fixation2" 7500 TRUE 153
266 20121210 "CMFT" 4 6 "TestL" 4500 FALSE 157.5
266 20121210 "CMFT" 4 6 "Fixation3" 4500 TRUE 162
266 20121210 "CMFT" 4 6 "TestC.RT" 2949 TRUE 164.949
266 20121210 "CMFT" 4 6 "TestC" 4500 TRUE 166.5
266 20121210 "CMFT" 4 6 "Fixation4" 6000 TRUE 172.5
266 20121210 "CMFT" 4 6 "TestR.RT" 2561 TRUE 175.061
266 20121210 "CMFT" 4 6 "TestR" 4500 TRUE 177
266 20121210 "CMFT" 5 2 "Fixation1" 6000 TRUE 183
266 20121210 "CMFT" 5 2 "MemL" 3000 FALSE 186
266 20121210 "CMFT" 5 2 "MemC" 3000 TRUE 189
266 20121210 "CMFT" 5 2 "MemR" 3000 FALSE 192
266 20121210 "CMFT" 5 2 "Fixation2" 7500 TRUE 199.5
266 20121210 "CMFT" 5 2 "TestL.RT" 2527 FALSE 202.027
266 20121210 "CMFT" 5 2 "TestL" 4500 FALSE 204
266 20121210 "CMFT" 5 2 "Fixation3" 3000 TRUE 207
266 20121210 "CMFT" 5 2 "TestC.RT" 1843 TRUE 208.843
266 20121210 "CMFT" 5 2 "TestC" 4500 TRUE 211.5
266 20121210 "CMFT" 5 2 "Fixation4" 4500 TRUE 216
266 20121210 "CMFT" 5 2 "TestR.RT" 1620 FALSE 217.62
266 20121210 "CMFT" 5 2 "TestR" 4500 FALSE 220.5
266 20121210 "CMFT" 6 3 "Fixation1" 7500 TRUE 228
266 20121210 "CMFT" 6 3 "MemL" 3000 TRUE 231
266 20121210 "CMFT" 6 3 "MemC" 3000 TRUE 234
266 20121210 "CMFT" 6 3 "MemR" 3000 FALSE 237
266 20121210 "CMFT" 6 3 "Fixation2" 1500 TRUE 238.5
266 20121210 "CMFT" 6 3 "TestL.RT" 1878 TRUE 240.378
266 20121210 "CMFT" 6 3 "TestL" 4500 TRUE 243
266 20121210 "CMFT" 6 3 "Fixation3" 6000 TRUE 249
266 20121210 "CMFT" 6 3 "TestC.RT" 3692 TRUE 252.692
266 20121210 "CMFT" 6 3 "TestC" 4500 TRUE 253.5
266 20121210 "CMFT" 6 3 "Fixation4" 4500 TRUE 258
266 20121210 "CMFT" 6 3 "TestR" 4500 FALSE 262.5
