"subj" "date" "exp" "trial" "acc" "event" "dur" "eventCorrect" "onset"
266 20121210 "Cars" 1 5 "Fixation1" 15000 TRUE 15
266 20121210 "Cars" 1 5 "MemL" 3000 TRUE 18
266 20121210 "Cars" 1 5 "MemC" 3000 FALSE 21
266 20121210 "Cars" 1 5 "MemR" 3000 TRUE 24
266 20121210 "Cars" 1 5 "Fixation2" 7500 TRUE 31.5
266 20121210 "Cars" 1 5 "TestL.RT" 2478 TRUE 33.978
266 20121210 "Cars" 1 5 "TestL" 4500 TRUE 36
266 20121210 "Cars" 1 5 "Fixation3" 6000 TRUE 42
266 20121210 "Cars" 1 5 "TestC.RT" 4261 FALSE 46.261
266 20121210 "Cars" 1 5 "TestC" 4500 FALSE 46.5
266 20121210 "Cars" 1 5 "Fixation4" 3000 TRUE 49.5
266 20121210 "Cars" 1 5 "TestR.RT" 1933 TRUE 51.433
266 20121210 "Cars" 1 5 "TestR" 4500 TRUE 54
266 20121210 "Cars" 2 5 "Fixation1" 3000 TRUE 57
266 20121210 "Cars" 2 5 "MemL" 3000 TRUE 60
266 20121210 "Cars" 2 5 "MemC" 3000 FALSE 63
266 20121210 "Cars" 2 5 "MemR" 3000 TRUE 66
266 20121210 "Cars" 2 5 "Fixation2" 7500 TRUE 73.5
266 20121210 "Cars" 2 5 "TestL.RT" 2885 TRUE 76.385
266 20121210 "Cars" 2 5 "TestL" 4500 TRUE 78
266 20121210 "Cars" 2 5 "Fixation3" 4500 TRUE 82.5
266 20121210 "Cars" 2 5 "TestC.RT" 2142 FALSE 84.642
266 20121210 "Cars" 2 5 "TestC" 4500 FALSE 87
266 20121210 "Cars" 2 5 "Fixation4" 6000 TRUE 93
266 20121210 "Cars" 2 5 "TestR.RT" 2549 TRUE 95.549
266 20121210 "Cars" 2 5 "TestR" 4500 TRUE 97.5
266 20121210 "Cars" 3 7 "Fixation1" 3000 TRUE 100.5
266 20121210 "Cars" 3 7 "MemL" 3000 TRUE 103.5
266 20121210 "Cars" 3 7 "MemC" 3000 TRUE 106.5
266 20121210 "Cars" 3 7 "MemR" 3000 TRUE 109.5
266 20121210 "Cars" 3 7 "Fixation2" 4500 TRUE 114
266 20121210 "Cars" 3 7 "TestL.RT" 2563 TRUE 116.563
266 20121210 "Cars" 3 7 "TestL" 4500 TRUE 118.5
266 20121210 "Cars" 3 7 "Fixation3" 7500 TRUE 126
266 20121210 "Cars" 3 7 "TestC.RT" 3426 TRUE 129.426
266 20121210 "Cars" 3 7 "TestC" 4500 TRUE 130.5
266 20121210 "Cars" 3 7 "Fixation4" 7500 TRUE 138
266 20121210 "Cars" 3 7 "TestR.RT" 2016 TRUE 140.016
266 20121210 "Cars" 3 7 "TestR" 4500 TRUE 142.5
266 20121210 "Cars" 4 3 "Fixation1" 7500 TRUE 150
266 20121210 "Cars" 4 3 "MemL" 3000 TRUE 153
266 20121210 "Cars" 4 3 "MemC" 3000 TRUE 156
266 20121210 "Cars" 4 3 "MemR" 3000 FALSE 159
266 20121210 "Cars" 4 3 "Fixation2" 7500 TRUE 166.5
266 20121210 "Cars" 4 3 "TestL.RT" 2864 TRUE 169.364
266 20121210 "Cars" 4 3 "TestL" 4500 TRUE 171
266 20121210 "Cars" 4 3 "Fixation3" 1500 TRUE 172.5
266 20121210 "Cars" 4 3 "TestC.RT" 3288 TRUE 175.788
266 20121210 "Cars" 4 3 "TestC" 4500 TRUE 177
266 20121210 "Cars" 4 3 "Fixation4" 7500 TRUE 184.5
266 20121210 "Cars" 4 3 "TestR.RT" 1536 FALSE 186.036
266 20121210 "Cars" 4 3 "TestR" 4500 FALSE 189
266 20121210 "Cars" 5 2 "Fixation1" 1500 TRUE 190.5
266 20121210 "Cars" 5 2 "MemL" 3000 FALSE 193.5
266 20121210 "Cars" 5 2 "MemC" 3000 TRUE 196.5
266 20121210 "Cars" 5 2 "MemR" 3000 FALSE 199.5
266 20121210 "Cars" 5 2 "Fixation2" 3000 TRUE 202.5
266 20121210 "Cars" 5 2 "TestL.RT" 3022 FALSE 205.522
266 20121210 "Cars" 5 2 "TestL" 4500 FALSE 207
266 20121210 "Cars" 5 2 "Fixation3" 1500 TRUE 208.5
266 20121210 "Cars" 5 2 "TestC.RT" 1888 TRUE 210.388
266 20121210 "Cars" 5 2 "TestC" 4500 TRUE 213
266 20121210 "Cars" 5 2 "Fixation4" 6000 TRUE 219
266 20121210 "Cars" 5 2 "TestR.RT" 2835 FALSE 221.835
266 20121210 "Cars" 5 2 "TestR" 4500 FALSE 223.5
266 20121210 "Cars" 6 3 "Fixation1" 7500 TRUE 231
266 20121210 "Cars" 6 3 "MemL" 3000 TRUE 234
266 20121210 "Cars" 6 3 "MemC" 3000 TRUE 237
266 20121210 "Cars" 6 3 "MemR" 3000 FALSE 240
266 20121210 "Cars" 6 3 "Fixation2" 7500 TRUE 247.5
266 20121210 "Cars" 6 3 "TestL.RT" 1933 TRUE 249.433
266 20121210 "Cars" 6 3 "TestL" 4500 TRUE 252
266 20121210 "Cars" 6 3 "Fixation3" 1500 TRUE 253.5
266 20121210 "Cars" 6 3 "TestC.RT" 2237 TRUE 255.737
266 20121210 "Cars" 6 3 "TestC" 4500 TRUE 258
266 20121210 "Cars" 6 3 "Fixation4" 1500 TRUE 259.5
266 20121210 "Cars" 6 3 "TestR.RT" 2604 FALSE 262.104
266 20121210 "Cars" 6 3 "TestR" 4500 FALSE 264
