file	id	SessionDate	TrialList	CorrectResp1	CorrectResp2	CorrectResp3	FaceCenter	FaceLeft	FaceRight	Fixation1	Fixation2	Fixation3	Fixation4	TestCenter	TestLeft	TestRight	TrialList	TestCenter.ACC	TestLeft.ACC	TestRight.ACC	TestCenter.CRESP	TestLeft.CRESP	TestRight.CRESP	TrialList.Cycle	Fixation1.OffsetTime	Fixation2.OffsetTime	Fixation3.OffsetTime	Fixation4.OffsetTime	MemorizeCenter.OffsetTime	MemorizeLeft.OffsetTime	MemorizeRight.OffsetTime	TestCenter.OffsetTime	TestLeft.OffsetTime	TestRight.OffsetTime	Fixation1.OnsetTime	Fixation2.OnsetTime	Fixation3.OnsetTime	Fixation4.OnsetTime	MemorizeCenter.OnsetTime	MemorizeLeft.OnsetTime	MemorizeRight.OnsetTime	TestCenter.OnsetTime	TestLeft.OnsetTime	TestRight.OnsetTime	TestCenter.RESP	TestRight.RESP	TestCenter.RT	TestLeft.RT	TestRight.RT
../task/Pilot Subs/123_KOH/CMFT-123-1.txt	123	03-08-2011	1	3	4	4	Bob_frontal_study.bmp	Bob_left_study.bmp	Bob_right_study.bmp	10500	3000	6000	6000	B2_Identical_Frontal.bmp	B1_Identical_Left.bmp	B3_Identical_Right.bmp	1	1	1	1	4	3	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	4	1195	1059	963
../task/Pilot Subs/123_KOH/CMFT-123-1.txt	123	NA	2	3	4	4	Dan_frontal_study.bmp	Dan_Left_Study.bmp	Dan_Right_Frontal.bmp	7500	3000	1500	7500	D2_Identical_Frontal.bmp	D1_Identical_Left.bmp	D3_Identical_Right.bmp	2	1	1	1	4	3	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	4	1320	816	1876
../task/Pilot Subs/123_KOH/CMFT-123-1.txt	123	NA	3	4	4	2	Jim_front.bmp	Jim_left.bmp	Jim_right.bmp	3000	6000	4500	6000	J_2_Iden_Front.bmp	J_1_Iden_L.bmp	J_3_Iden_R.bmp	3	1	1	1	4	4	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	1195	1788	1844
../task/Pilot Subs/123_KOH/CMFT-123-1.txt	123	NA	4	3	4	2	Matt_front.bmp	Matt_left_cropped.bmp	Matt_right_cropped.bmp	4500	7500	4500	6000	M_2_Iden_Front.bmp	M_1_Iden_L.bmp	M_3_Iden_R.bmp	4	1	1	1	4	3	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	1220	1612	2274
../task/Pilot Subs/123_KOH/CMFT-123-1.txt	123	NA	5	4	2	4	Nate_front_cropped.bmp	Nate_left_cropped.bmp	Nate_right_cropped.bmp	6000	7500	3000	4500	N_2_Iden_Front.bmp	N_1_Iden_L.bmp	N_3_Iden_R.bmp	5	1	1	1	2	4	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4	1567	1370	1224
../task/Pilot Subs/123_KOH/CMFT-123-1.txt	123	NA	6	2	4	2	Zack_Front_cropped.bmp	Zack_Left_cropped.bmp	Zack_Right_Cropped.bmp	7500	1500	6000	4500	Z_2_Iden_Front.bmp	Z_1_Iden_L.bmp	Z_3_Iden_R.bmp	6	1	1	1	4	2	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	1478	1456	1550
../task/Pilot Subs/163_LR/CMFT-163-1.txt	163	03-14-2011	1	3	4	4	Bob_frontal_study.bmp	Bob_left_study.bmp	Bob_right_study.bmp	10500	3000	6000	6000	B2_Identical_Frontal.bmp	B1_Identical_Left.bmp	B3_Identical_Right.bmp	1	1	1	1	4	3	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	4	2161	2246	1757
../task/Pilot Subs/163_LR/CMFT-163-1.txt	163	NA	2	3	4	4	Dan_frontal_study.bmp	Dan_Left_Study.bmp	Dan_Right_Frontal.bmp	7500	3000	1500	7500	D2_Identical_Frontal.bmp	D1_Identical_Left.bmp	D3_Identical_Right.bmp	2	1	1	1	4	3	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	4	3779	2241	2415
../task/Pilot Subs/163_LR/CMFT-163-1.txt	163	NA	3	4	4	2	Jim_front.bmp	Jim_left.bmp	Jim_right.bmp	3000	6000	4500	6000	J_2_Iden_Front.bmp	J_1_Iden_L.bmp	J_3_Iden_R.bmp	3	1	1	1	4	4	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	2147	2260	1553
../task/Pilot Subs/163_LR/CMFT-163-1.txt	163	NA	4	3	4	2	Matt_front.bmp	Matt_left_cropped.bmp	Matt_right_cropped.bmp	4500	7500	4500	6000	M_2_Iden_Front.bmp	M_1_Iden_L.bmp	M_3_Iden_R.bmp	4	1	1	1	4	3	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	4818	2335	3265
../task/Pilot Subs/163_LR/CMFT-163-1.txt	163	NA	5	4	2	4	Nate_front_cropped.bmp	Nate_left_cropped.bmp	Nate_right_cropped.bmp	6000	7500	3000	4500	N_2_Iden_Front.bmp	N_1_Iden_L.bmp	N_3_Iden_R.bmp	5	NA	NA	NA	2	4	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	2753	3081
../task/Pilot Subs/163_LR/CMFT-163-1.txt	163	NA	6	2	4	2	Zack_Front_cropped.bmp	Zack_Left_cropped.bmp	Zack_Right_Cropped.bmp	7500	1500	6000	4500	Z_2_Iden_Front.bmp	Z_1_Iden_L.bmp	Z_3_Iden_R.bmp	6	NA	1	1	4	2	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	2	3748	2086	2621
1/102/CMFT-102-1.txt	102	10-01-2011	1	3	4	4	Bob_frontal_study.bmp	Bob_left_study.bmp	Bob_right_study.bmp	10500	3000	6000	6000	B2_Identical_Frontal.bmp	B1_Identical_Left.bmp	B3_Identical_Right.bmp	1	1	1	1	4	3	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	4	2115	1493	2010
1/102/CMFT-102-1.txt	102	NA	2	3	4	4	Dan_frontal_study.bmp	Dan_Left_Study.bmp	Dan_Right_Frontal.bmp	7500	3000	1500	7500	D2_Identical_Frontal.bmp	D1_Identical_Left.bmp	D3_Identical_Right.bmp	2	1	1	1	4	3	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	4	2737	3181	2147
1/102/CMFT-102-1.txt	102	NA	3	4	4	2	Jim_front.bmp	Jim_left.bmp	Jim_right.bmp	3000	6000	4500	6000	J_2_Iden_Front.bmp	J_1_Iden_L.bmp	J_3_Iden_R.bmp	3	NA	1	1	4	4	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	2234	2611
1/102/CMFT-102-1.txt	102	NA	4	3	4	2	Matt_front.bmp	Matt_left_cropped.bmp	Matt_right_cropped.bmp	4500	7500	4500	6000	M_2_Iden_Front.bmp	M_1_Iden_L.bmp	M_3_Iden_R.bmp	4	1	1	1	4	3	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	1869	1514	1804
1/102/CMFT-102-1.txt	102	NA	5	4	2	4	Nate_front_cropped.bmp	Nate_left_cropped.bmp	Nate_right_cropped.bmp	6000	7500	3000	4500	N_2_Iden_Front.bmp	N_1_Iden_L.bmp	N_3_Iden_R.bmp	5	1	1	1	2	4	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4	2125	3013	1648
1/102/CMFT-102-1.txt	102	NA	6	2	4	2	Zack_Front_cropped.bmp	Zack_Left_cropped.bmp	Zack_Right_Cropped.bmp	7500	1500	6000	4500	Z_2_Iden_Front.bmp	Z_1_Iden_L.bmp	Z_3_Iden_R.bmp	6	1	1	1	4	2	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	1718	1863	1545
1/103/CMFT-103-1.txt	103	05-04-2011	1	3	4	4	Bob_frontal_study.bmp	Bob_left_study.bmp	Bob_right_study.bmp	10500	3000	6000	6000	B2_Identical_Frontal.bmp	B1_Identical_Left.bmp	B3_Identical_Right.bmp	1	1	1	1	4	3	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	4	1672	2169	2193
