"year","id","task","tasktime","trial","onset","event","FixTime","TestSlide","TestSlide.RT","CorrectResp","TestSlide.ACC"
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,1,29,"Fix",1500,"NovelHLFA040_T1",NA,2,0
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,1,30.5,"TestSlide",1500,"NovelHLFA040_T1",NA,2,0
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,2,35,"Fix",7500,"Novel30RHSA049_T3",1738,4,1
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,2,42.5,"TestSlide",7500,"Novel30RHSA049_T3",1738,4,1
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,3,47,"Fix",1500,"Novel60LA076_T1",2782,2,0
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,3,48.5,"TestSlide",1500,"Novel60LA076_T1",2782,2,0
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,4,53,"Fix",1500,"NovelHLFA011_T3",1946,4,1
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,4,54.5,"TestSlide",1500,"NovelHLFA011_T3",1946,4,1
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,5,59,"Fix",7500,"NovelFBLA004_T3",2132,4,1
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,5,66.5,"TestSlide",7500,"NovelFBLA004_T3",2132,4,1
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,6,71,"Fix",3000,"Novel60LA022_T2",2276,3,0
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,6,74,"TestSlide",3000,"Novel60LA022_T2",2276,3,0
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,7,78.5,"Fix",7500,"NovelFBLA011_T1",2861,2,1
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,7,86,"TestSlide",7500,"NovelFBLA011_T1",2861,2,1
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,8,90.5,"Fix",7500,"NovelHLFA076_T3",2975,4,0
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,8,98,"TestSlide",7500,"NovelHLFA076_T3",2975,4,0
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,9,102.5,"Fix",1500,"Novel60LA040_T2",1474,3,0
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,9,104,"TestSlide",1500,"Novel60LA040_T2",1474,3,0
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,10,108.5,"Fix",7500,"NovelFBLA022_T3",2516,4,1
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,10,116,"TestSlide",7500,"NovelFBLA022_T3",2516,4,1
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,11,120.5,"Fix",3000,"Novel60RA049_T2",2940,3,0
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,11,123.5,"TestSlide",3000,"Novel60RA049_T2",2940,3,0
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,12,128,"Fix",7500,"Novel30RHSA040_T3",3686,4,0
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,12,135.5,"TestSlide",7500,"Novel30RHSA040_T3",3686,4,0
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,13,140,"Fix",7500,"NovelHLFA022_T3",2271,4,1
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,13,147.5,"TestSlide",7500,"NovelHLFA022_T3",2271,4,1
